"spp";"mass";"rbl";"clade";"TS";"TE"
"168";"Nimravides_thinobates";2.08659827119328;0.894;"Felidae";13.2986139030086;6.85369916342682
"169";"Panthera_atrox";1.63660045883409;0.998994095297654;"Felidae";2.25991747161901;0.00333231100075806
"170";"Panthera_gombaszoegensis";1.65201593351421;0.999294290778691;"Felidae";3.05232627602948;0.102630922332448
"171";"Panthera_onca";1.68581336889797;1;"Felidae";2.63068927628426;0
"172";"Panthera_palaeosinensis";1.58273749732456;0.998017678444825;"Felidae";2.67664773276475;1.11799613617394
"173";"Panthera_spelaea";1.63660045883409;0.998994095297654;"Felidae";2.2905820408119;0.0138628814678028
"174";"Panthera_tigris";1.5935496463682;0.998198309214274;"Felidae";2.59295556872164;0
"175";"Pratifelis_martini";2.0953716262465;0.881;"Felidae";8.06532575028455;7.29359344524804
"176";"Prionailurus_bengalensis";1.41905117334912;0.999328376952302;"Felidae";0.547689373329092;0
"177";"Prionailurus_planiceps";1.41905117334912;0.999328376952302;"Felidae";0.155857930197186;0
"178";"Pristifelis_attica";1.6676420001416;0.987774708904462;"Felidae";10.2740807646802;5.20555033689944
"179";"Proailurus_lemanensis";1.85507902513181;0.971298662254331;"Felidae";26.5539560074258;20.3542316522053
"180";"Promegantereon_ogygia";1.95548394429214;0.938332047721866;"Felidae";9.64547852590363;8.84792313259793
"181";"Pseudaelurus_quadridentatus";1.87914086600156;0.968731184537766;"Felidae";16.8375944331844;8.88443656165019
"182";"Pseudaelurus_romieviensis";1.94028082754366;0.959922562054351;"Felidae";19.6821919273677;15.4457418838152
"183";"Puma_concolor";1.58374271869925;1;"Felidae";4.57195717460079;0
"184";"Puma_lacustris";1.25273170272602;1;"Felidae";9.9505028684423;1.93531622481701
"185";"Rhizosmilodon_fiteae";1.796329817402;0.981825077692601;"Felidae";4.70689993635296;4.04553435343805
"186";"Smilodon_fatalis";1.82954176532542;1;"Felidae";2.25799201626853;0.00828112486179094
"187";"Smilodon_gracilis";1.81924113991647;1;"Felidae";4.60781858091951;0.0251651267215312
"188";"Xenosmilus_hodsonae";1.94908202684696;0.965872776419134;"Felidae";2.56737691797807;0.72957695662096
"189";"Yoshi_garevskii";1.94328763203049;0.945066946698692;"Felidae";7.39022110895067;6.68023498005345
